tree_id;tree_code;genus;species;dbh;ht;longitude;latitude
1;Val_01;Pinus;halepensis Mill.;292;14.5;-0.52486;39.77021
2;Val_02;Pinus;pinaster Aiton;470;24.9;-1.43679;39.48985
3;Val_03;Myrtus;communis L.;0;4;-0.58301;38.85486
4;Val_04;Olea;europaea L.;506;4.5;-0.67541;39.73106
5;Val_05;Ficus;macrophylla Desf.;643;13;-0.48353;38.34418
6;Val_06;Ficus;macrophylla Desf.;705;13;-0.48338;38.34426
7;Val_07;Ficus;macrophylla Desf.;390;14;-0.48346;38.34437
8;Val_08;Ficus;macrophylla Desf.;635;19;-0.48364;38.34429
9;Val_09;Pistacia;lentiscus L.;140;4;-0.43330;40.02492
10;Val_10;Ulmus;minor Mill.;690;17;-0.50705;39.87772
11;Val_11;Olea;europaea L.;672;7.6;-0.45990;39.77005
12;Val_12;Pinus;pinea L.;317;10.9;-0.32794;39.81600
13;Val_13;Pinus;halepensis Mill.;308;20.6;-0.89200;38.73738
14;Val_14;Celtis;australis L.;310;11.2;0.20180;40.45671
15;Val_15;Phytolacca;dioica L.;278;5;0.43119;40.50661
16;Val_16;Ficus;macrophylla Desf.;455;18;-0.03453;39.98830
17;Val_17;Olea;europaea L.;590;11;-0.03867;39.98934
18;Val_18;Arbutus;unedo L.;230;6.9;-0.80690;38.60809
19;Val_19;Ficus;macrophylla Desf.;1159;20.8;-0.48683;38.34126
20;Val_20;Pinus;pinea L.;420;16.6;-0.99108;38.53982
21;Val_21;Quercus;ilex L.;335;13;-0.62952;38.82199
22;Val_22;Quercus;ilex L.;255;14;-0.64897;38.82598
23;Val_23;Quercus;ilex L.;370;10;-0.68603;38.82640
24;Val_24;Quercus;ilex L.;300;14;-0.69318;38.81245
25;Val_25;Quercus;ilex L.;270;12;-0.69318;38.81245
26;Val_26;Quercus;ilex L.;360;11;-0.69318;38.81245
27;Val_27;Quercus;ilex L.;0;10;-0.68043;38.81490
28;Val_28;Quercus;ilex L.;310;12;-0.67246;38.81204
29;Val_29;Quercus;ilex L.;335;13;-0.67246;38.81204
30;Val_30;Quercus;ilex L.;425;11;-0.67246;38.81204
31;Val_31;Quercus;ilex L.;390;15;-0.67372;38.80545
32;Val_32;Quercus;ilex L.;320;11;-0.65766;38.81134
33;Val_33;Quercus;ilex L.;285;10;-0.62531;38.81019
34;Val_34;Quercus;ilex L.;0;11;-0.62751;38.81393
35;Val_35;Quercus;ilex L.;290;9;-0.63212;38.81303
36;Val_36;Quercus;ilex L.;290;10.5;-0.63520;38.80677
37;Val_37;Quercus;ilex L.;280;11;-0.63545;38.80664
38;Val_38;Quercus;ilex L.;0;10;-0.63714;38.79472
39;Val_39;Quercus;ilex L.;340;16;-0.66707;38.79072
40;Val_40;Quercus;ilex L.;299;11;-0.57800;38.81813
41;Val_41;Quercus;ilex L.;270;6.8;-0.58964;38.86003
42;Val_42;Quercus;ilex L.;289;9.8;-0.69158;38.81645
43;Val_43;Quercus;ilex L.;235;11.1;-0.63191;38.81276
44;Val_44;Quercus;ilex L.;240;6.9;-0.62894;38.82851
45;Val_45;Quercus;ilex L.;280;8.9;-0.67437;38.80566
46;Val_46;Pinus;halepensis Mill.;360;24;-0.64927;38.81698
47;Val_47;Pinus;pinea L.;392;18.6;-0.66352;38.80780
48;Val_48;Pinus;pinea L.;320;23;-0.58805;38.85627
49;Val_49;Pinus;halepensis Mill.;335;17;-0.70549;38.82350
50;Val_50;Celtis;australis L.;345;12.7;-0.57856;38.83708
51;Val_51;Celtis;australis L.;350;11;-0.64897;38.82598
52;Val_52;Pinus;halepensis Mill.;280;32;-0.75937;38.48026
53;Val_53;Quercus;ilex L.;170;11.2;-1.34858;39.54693
54;Val_54;Quercus;ilex L.;280;14.1;-1.34835;39.54698
55;Val_55;Quercus;ilex L.;330;12.7;-1.34319;39.54772
56;Val_56;Quercus;ilex L.;260;15.3;-1.34294;39.54778
57;Val_57;Quercus;ilex L.;200;12.4;-1.34310;39.54776
58;Val_58;Ficus;microcarpa L.;285;16;-0.47818;38.34615
59;Val_59;Citrus;� sinensis;235;2;-0.44297;39.12039
60;Val_60;Magnolia;grandiflora L.;281;13;-0.44264;39.12035
61;Val_61;Celtis;australis L.;211;14.4;-0.45405;39.12049
62;Val_62;Platanus;hispanica M�nchh.;352;21.3;-0.45403;39.11959
63;Val_63;Cupressus;sempervirens L.;245;15.3;-0.44899;39.10136
64;Val_64;Celtis;australis L.;225;12;-0.66508;38.82631
65;Val_65;Celtis;australis L.;292;9.6;-0.59246;38.85927
66;Val_66;Ficus;macrophylla Desf.;703;18.6;0.08299;40.05724
67;Val_67;Ceratonia;siliqua L.;728;8.8;-0.58131;38.81855
68;Val_68;Ceratonia;siliqua L.;735;5.9;-0.57356;38.82165
69;Val_69;Ceratonia;siliqua L.;402;7.4;-0.58099;38.84062
70;Val_70;Ceratonia;siliqua L.;525;7.1;-0.60013;38.84723
71;Val_71;Olea;europaea L.;345;3.6;-0.59745;38.82362
72;Val_72;Arbutus;unedo L.;210;7;-0.64006;38.81679
73;Val_73;Pistacia;lentiscus L.;150;4;-0.67694;38.82464
74;Val_74;Taxus;baccata L.;225;6.7;-0.62717;38.82806
75;Val_75;Cedrus;atlantica (Endl.);262;16;-0.60875;38.82890
76;Val_76;Cupressus;sempervirens L.;260;12;-0.62088;38.80469
77;Val_77;Acer;negundo L.;360;15;-0.60282;38.81377
78;Val_78;Magnolia;grandiflora L.;260;14.2;-0.58748;38.83606
79;Val_79;Cupressus;sempervirens L.;243;12.2;-0.59240;38.84036
80;Val_80;Cupressus;sempervirens L.;240;11.4;-0.59259;38.84031
81;Val_81;Gleditsia;triacanthos L.;322;23.1;-0.60853;38.82914
82;Val_82;Maclura;pomifera (;348;12;-0.60847;38.82921
83;Val_83;Washingtonia;robusta H.;0;17.6;-0.60525;38.82175
84;Val_84;Washingtonia;robusta H.;0;19.1;-0.60522;38.82166
85;Val_85;Phoenix;dactylifera L.;0;12;-0.62085;38.80559
86;Val_86;Pinus;pinea L.;240;22.9;-0.54251;39.54310
87;Val_87;Pinus;pinea L.;280;22.8;-0.54250;39.54298
88;Val_88;Pinus;pinea L.;290;23.5;-0.54273;39.54318
89;Val_89;Olea;europaea L.;515;3;-0.21782;39.82178
90;Val_90;Phoenix;dactylifera L.;125;11;-0.23433;39.82017
91;Val_91;Olea;europaea L.;0;7;-0.23292;39.81824
92;Val_92;Schinus;molle L.;376;10;-0.23443;39.81136
