is.singular,source_db,tree_id,tree_code,tree_genus,tree_species,ht,dbh,longitude,latitude
1,S_NFI_3,863849,28_1402_A_1_7_6,Pinus,pinea,22,66.5,-4.30850035790122,40.4264431725066
1,S_NFI_3,863846,28_1402_A_1_4_3,Pinus,pinea,19.5,79.6,-4.30832829409057,40.4266271011126
1,S_NFI_3,863844,28_1402_A_1_2_2,Pinus,pinea,18.5,59.5,-4.30847701720445,40.4265616171201
1,S_NFI_3,863898,28_1409_A_1_5_5,Pinus,pinea,19,61.9,-4.30825537516839,40.4175037542238
1,S_NFI_3,863900,28_1409_A_1_7_7,Pinus,pinea,19,59.25,-4.30817851435486,40.4173425001213
0,S_NFI_3,863956,28_1416_A_1_16_16,Pinus,pinea,9.5,26.6,-4.41423235887607,40.4072881776215
1,S_NFI_3,864183,28_1438_A_1_3_3,Pinus,pinea,21.5,71.6,-4.34319328938719,40.3991752543323
1,S_NFI_3,864197,28_1439_A_1_5_4,Pinus,pinea,18,71,-4.33129049782598,40.3992432391645
1,S_NFI_3,864263,28_1448_A_1_11_11,Pinus,pinea,20.5,79.9,-4.19029007530805,40.4006494510049
0,S_NFI_3,864446,28_1466_A_1_2_2,Pinus,pinea,9.5,25.45,-4.31918762153372,40.3723770496546
1,S_NFI_3,864504,28_1472_A_1_5_5,Pinus,pinea,17.8,77.3,-4.3188527309519,40.3634310338258
1,S_NFI_3,864505,28_1472_A_1_6_6,Pinus,pinea,18.4,83.1,-4.31887533026469,40.3633207760398
1,S_NFI_3,864583,28_1483_A_1_2_2,Pinus,pinea,20.7,136.9,-4.34244016983658,40.3539924983083
0,S_NFI_3,865853,28_1702_A_1_29_29,Pinus,pinea,9.5,26.1,-3.7551891911079,40.4855081256401
1,S_NFI_3,865892,28_1710_A_1_1_1,Pinus,pinea,19.5,82.8,-3.83745028731276,40.4670262841074
0,S_NFI_3,865982,28_1719_A_4_3_3,Pinus,pinea,9.5,25.15,-3.63677353782082,40.4502694066094
1,S_NFI_3,866885,28_1892_A_4_23_23,Pinus,pinea,18.8,58.65,-4.51770791988756,40.2888257930626
1,S_NFI_3,857781,28_608_A_1_16_11,Pinus,pinea,23.5,92.3,-4.13617063377913,40.6896244580276
1,S_NFI_3,857789,28_608_A_1_24_17,Pinus,pinea,24,79.6,-4.13622696268893,40.6896883859845
1,S_NFI_3,857791,28_608_A_1_26_19,Pinus,pinea,24,81.2,-4.13621993709205,40.6896942305499
1,S_NFI_3,860095,28_869_A_1_15_14,Pinus,pinea,19,77.3,-4.3219381391413,40.5072937008123
0,S_NFI_3,870656,29_218_A_3E_6_6,Pinus,pinea,9.5,25.05,-4.7831309057963,36.8428345477941
0,S_NFI_3,873367,29_624_A_1_10_6,Pinus,pinea,9.1,26.05,-4.80435757749128,36.7885882009517
0,S_NFI_3,1066652,37_254_A_1_5_5,Pinus,pinea,9.3,27.15,-5.42637851339645,41.0299996013112
0,S_NFI_3,1165448,40_1148_A_3C_11_11,Pinus,pinea,9.2,26.9,-4.71626862272604,41.1597761034194
0,S_NFI_3,1165442,40_1148_A_3C_5_5,Pinus,pinea,9.5,25.65,-4.71609072067869,41.1598630579859
1,S_NFI_3,1167696,40_1277_A_1 _32_23,Pinus,pinea,18.8,64.6,-4.1563101597787,41.157869258553
1,S_NFI_3,1170324,40_1450_A_1 _5_4,Pinus,pinea,18,84.7,-4.54364502059536,40.9099301568525
1,S_NFI_3,1178209,40_2035_N_N _20_20,Pinus,pinea,18,69.7,-4.43248013814472,41.2537889863243
1,S_NFI_3,1178210,40_2035_N_N _21_21,Pinus,pinea,18,60.8,-4.43247059253635,41.2537891051098
1,S_NFI_3,1155245,40_516_A_3C_8_6,Pinus,pinea,19,76.4,-4.46818270447438,41.2532650996849
0,S_NFI_3,1184007,41_1119_A_3E_1_1,Pinus,pinea,9.5,25.4,-5.58450353128286,37.6573492634658
0,S_NFI_3,1185562,41_2165_N_N_10_10,Pinus,pinea,9.7,25.8,-5.76736202883348,37.391712223424
0,S_NFI_3,1179930,41_233_A_3C_9_9,Pinus,pinea,9.6,26.95,-5.93366124245824,37.8833761365679
1,S_NFI_3,1180425,41_325_A_3E_25_25,Pinus,pinea,18.1,58.1,-5.69652783429857,37.9339538662776
1,S_NFI_3,1293009,45_119_A_1_1_1,Pinus,pinea,18.9,68.8,-4.37660852857826,40.2998493899841
1,S_NFI_3,1293010,45_119_A_1_2_2,Pinus,pinea,17.6,75.8,-4.37671435092565,40.2996506816146
1,S_NFI_3,1293011,45_119_A_1_3_3,Pinus,pinea,19.5,60.8,-4.37678081438125,40.2998077710334
1,S_NFI_3,1293164,45_129_A_1_18_16,Pinus,pinea,21,121,-4.35246794998543,40.2639965135957
1,S_NFI_3,1293163,45_129_A_1_17_15,Pinus,pinea,24.5,118.4,-4.35256401571181,40.2638802475247
1,S_NFI_3,1322532,47_235_A_1_9_6,Pinus,pinea,18.5,57.1,-4.79939226743611,41.5908741670452
0,S_NFI_3,1324196,47_373_A_1_16_11,Pinus,pinea,9.5,25.5,-4.53371079710104,41.5047555793032
0,S_NFI_3,1324412,47_387_A_3C_14_14,Pinus,pinea,9.7,25.9,-4.20046633474205,41.6256591952589
0,S_NFI_3,1324464,47_393_A_1_2_2,Pinus,pinea,9.7,26,-4.32018894869203,41.6154664711282
0,S_NFI_3,1324505,47_395_A_1_17_17,Pinus,pinea,9.4,25.4,-4.29634106674515,41.6157777967362
